message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,payment,BERT Context Engine: Financial transaction notice (similarity: 0.49).,0.88,message_0243;message_0102
msg_020,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0095;message_0390
msg_017,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0090;message_0089
msg_058,mute,forward,Security Policy Guard: Viral forward chain pattern detected.,0.88,message_0078;message_0172
msg_026,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0032;message_0107
msg_047,notify,urgent,BERT Context Engine: Urgent event detected (similarity: 0.40).,0.7,message_0150;message_0152
msg_046,digest,personal,BERT Context Engine: Standard group message.,0.8,message_0148;message_0147
msg_042,notify,urgent,BERT Context Engine: Urgent event detected (similarity: 0.45).,0.75,message_0140;message_0057
msg_079,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0369;message_0173
msg_098,notify,urgent,BERT Context Engine: Urgent event detected (similarity: 0.28).,0.58,message_0226;message_0054
msg_037,digest,greeting,BERT Context Engine: Courtesy greeting or wish (similarity: 0.17).,0.82,message_0130;message_0269
msg_007,digest,event,BERT Context Engine: Scheduled event or community notice (similarity: 0.53).,0.85,message_0275;message_0070
msg_085,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0173;message_0221
msg_001,notify,urgent,Verified Group Admin time-bound relative deadline announcement.,0.94,message_0057;message_0240
msg_021,digest,business_update,Status-progression update downgraded to digest due to recent duplicate notification refire.,0.8,message_0130;message_0190
msg_028,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0034;message_0112
msg_012,mute,forward,Security Policy Guard: Viral forward chain pattern detected.,0.88,message_0194;message_0247
msg_064,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0087;message_0183
msg_103,mute,promotion,Promotional Policy Guard: Cold marketing offer or unverified business promotion muted.,0.85,message_0065;message_0332
msg_031,digest,business_update,Status-progression update downgraded to digest due to recent duplicate notification refire.,0.8,message_0249;message_0055
msg_057,notify,urgent,Direct user mention co-occurring with critical work escalation pattern.,0.92,message_0169;message_0031
msg_087,digest,personal,Media Attachment Fallback: Classified via relational context (API inactive). Confidence capped.,0.62,message_0391;message_0389
msg_067,digest,payment,BERT Context Engine: Financial transaction notice (similarity: 0.42).,0.88,message_0068;message_0030
msg_039,digest,business_update,BERT Context Engine: Business notification update (similarity: 0.40).,0.86,message_0255;message_0364
msg_082,digest,personal,Media Attachment Fallback: Classified via relational context (API inactive). Confidence capped.,0.62,message_0218;message_0397
msg_066,mute,promotion,Promotional Policy Guard: Cold marketing offer or unverified business promotion muted.,0.85,message_0402;message_0052
msg_049,digest,business_update,Status-progression update downgraded to digest due to recent duplicate notification refire.,0.8,message_0291;message_0154
msg_015,digest,personal,BERT Context Engine: Standard group message.,0.8,message_0173;message_0213
msg_051,mute,promotion,Promotional Policy Guard: Cold marketing offer or unverified business promotion muted.,0.85,message_0402;message_0052
msg_097,digest,personal,BERT Context Engine: Personal 1-on-1 message.,0.85,message_0054;message_0167
msg_089,digest,event,BERT Context Engine: Scheduled event or community notice (similarity: 0.29).,0.85,message_0299;message_0396
msg_053,mute,forward,Security Policy Guard: Viral forward chain pattern detected.,0.88,message_0411;message_0253
msg_059,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0173;message_0053
msg_024,mute,promotion,Promotional Policy Guard: Cold marketing offer or unverified business promotion muted.,0.85,message_0402;message_0052
msg_072,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0213;message_0085
msg_036,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0283;message_0127
msg_076,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0208;message_0207
msg_055,digest,personal,BERT Context Engine: Standard group message.,0.8,message_0166;message_0165
msg_102,notify,urgent,BERT Context Engine: Urgent event detected (similarity: 0.32).,0.62,message_0371;message_0230
msg_080,notify,urgent,BERT Context Engine: Urgent event detected (similarity: 0.31).,0.61,message_0130;message_0190
msg_093,digest,business_update,Status-progression update downgraded to digest due to recent duplicate notification refire.,0.8,message_0348;message_0349
msg_034,mute,greeting,Security Policy Guard: Viral forward chain pattern detected.,0.88,message_0077;message_0078
msg_035,digest,business_update,BERT Context Engine: Business notification update (similarity: 0.29).,0.86,message_0281;message_0125
msg_101,notify,urgent,BERT Context Engine: Urgent event detected (similarity: 0.29).,0.59,message_0370;message_0229
msg_041,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0077;message_0171
msg_011,mute,greeting,Security Policy Guard: Viral forward chain pattern detected.,0.88,message_0077;message_0171
msg_110,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0238;message_0381
msg_095,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0087;message_0183
msg_074,mute,forward,Security Policy Guard: Viral forward chain pattern detected.,0.88,message_0389;message_0204
msg_073,mute,forward,Security Policy Guard: Viral forward chain pattern detected.,0.88,message_0087;message_0184
msg_054,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0389;message_0163
msg_068,digest,personal,BERT Context Engine: Standard group message.,0.8,message_0191;message_0192
msg_100,notify,urgent,BERT Context Engine: Urgent event detected (similarity: 0.43).,0.73,message_0228;message_0362
msg_062,notify,urgent,BERT Context Engine: Urgent event detected (similarity: 0.36).,0.66,message_0043;message_0130
msg_096,digest,personal,BERT Context Engine: Personal 1-on-1 message.,0.85,none
msg_043,notify,urgent,BERT Context Engine: Urgent event detected (similarity: 0.45).,0.75,message_0130;message_0271
msg_077,digest,event,Status-progression update downgraded to digest due to recent duplicate notification refire.,0.8,message_0037;message_0255
msg_081,digest,personal,Media Attachment Fallback: Classified via relational context (API inactive). Confidence capped.,0.62,message_0217;message_0078
msg_025,digest,business_update,Status-progression update downgraded to digest due to recent duplicate notification refire.,0.8,message_0239;message_0004
msg_084,digest,business_update,Media Attachment Fallback: Classified via relational context (API inactive). Confidence capped.,0.62,message_0391;message_0389
msg_022,digest,business_update,Status-progression update downgraded to digest due to recent duplicate notification refire.,0.8,message_0151;message_0152
